# ED-prefixed Z80 opcodes
#
#op|xtr| type | mnemonic    | dest | src  | summary                | description
dc | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
dd | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
de | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
df | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
e0 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
e1 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
e2 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
e3 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
e4 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
e5 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
e6 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
e7 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
e8 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
e9 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
ea | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
eb | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
ec | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
ed | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
ee | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
ef | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
f0 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
f1 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
f2 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
f3 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
f4 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
f5 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
f6 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
f7 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
f8 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
f9 | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
fa | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
fb | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
fc | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
fd | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
fe | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
ff | 0 | 0 | NOP  | NOP         |      |      | NOP                    | NOP (undocumented)
